Region,ParkCode,ParkName,State,GrossAcres
Midwest,JEFF,JEFFERSON N EXPAN MEM,IL,192.83
Midwest,JECA,JEWEL CAVE NM,SD,"1,273.51"
Southeast,JICA,JIMMY CARTER NHS,GA,72.21
Pacific West,JODA,JOHN DAY FOS BEDS NM,OR,"14,062.02"
Pacific West,JOMU,JOHN MUIR NHS,CA,344.14
Northeast,JOFL,JOHNSTOWN FLOOD NMEM,PA,177.76
Pacific West,JOTR,JOSHUA TREE NP,CA,"790,635.74"
Pacific West,KALA,KALAUPAPA NHP,HI,"10,778.88"
Pacific West,KAHO,KALOKO-HONOKOHAU NHP,HI,"1,163.05"
Northeast,,KATAHDIN WOODS AND WATERS NM,ME,"87,564.27"
Alaska,KATM,KATMAI NP & PRES,AK,"4,093,228.13"
Alaska,KEFJ,KENAI FJORDS NP,AK,"669,650.05"
Southeast,KEMO,KENNESAW MT NBP,GA,"2,894.29"
Midwest,KEWE,KEWEENAW NHP,MI,"1,869.40"
Pacific West,KICA,KINGS CANYON NP,CA,"461,901.20"
Southeast,KIMO,KINGS MT NMP,SC,"3,945.29"
Alaska,,KLONDIKE GOLD RUSH NHP,AK,"12,996.49"
Alaska,,KLONDIKE GOLD RUSH NHP,WA,"12,996.49"
Midwest,KNRI,KNIFE RIVER INDIAN VIL NH,ND,"1,748.80"
Alaska,KOVA,KOBUK VALLEY NP,AK,"1,750,716.16"
National Capital,KOWA,KOREAN WAR VETERANS MEM,DC,1.56
Pacific West,LACH,LAKE CHELAN NRA,WA,"61,946.27"
Alaska,LACL,LAKE CLARK NP & PRES,AK,"4,030,110.17"
Pacific West,LAKE,LAKE MEAD NRA,AZ,"1,495,805.53"
Pacific West,LAKE,LAKE MEAD NRA,NV,"1,495,805.53"
Intermountain,LAMR,LAKE MEREDITH NRA,TX,"44,977.63"
Pacific West,LARO,LAKE ROOSEVELT NRA,WA,"100,390.31"
Pacific West,LAVO,LASSEN VOLCANIC NP,CA,"106,589.02"
Pacific West,LABE,LAVA BEDS NM,CA,"46,692.42"
National Capital,LYBA,LBJ MEM GROVE ON THE POTOMAC,DC,17.00
Pacific West,LEWI,LEWIS AND CLARK NHP,OR,"3,410.15"
Pacific West,LEWI,LEWIS AND CLARK NHP,WA,"3,410.15"
Midwest,LIBO,LINCOLN BOYHOOD NMEM,IN,199.96
Midwest,LIHO,LINCOLN HOME NHS,IL,12.24
National Capital,LINC,LINCOLN MEMORIAL,DC,7.29
Intermountain,LIBI,LITTLE BIGHORN BATTLEFLD NM,MT,765.34
Southeast,LIRI,LITTLE RIVER CANYON NP,AL,"15,288.53"
Midwest,CHSC,LITTLE ROCK CENTRAL HS NH,AR,27.28
Northeast,LONG,LONGFELLOW HOUSE-WASH HQ NHS,MA,1.98
Northeast,LOWE,LOWELL NHP,MA,141.29
Midwest,,LOWER ST CROIX NSR,MN,"25,276.45"
Midwest,,LOWER ST CROIX NSR,WI,"25,276.45"
Intermountain,LYJO,LYNDON B JOHNSON NHP,TX,"1,570.15"
National Capital,,M MCLEOD BETHUNE HOUSE NHS,DC,0.07
Northeast,MAWA,MAGGIE L WALKER NHS,VA,1.29
Southeast,MACA,MAMMOTH CAVE NP,KY,"52,830.19"
National Capital,MANA,MANASSAS NBP,VA,"5,072.63"
Intermountain,MAPR,MANHATTAN PROJECT NHP,NM,113.61
Intermountain,MAPR,MANHATTAN PROJECT NHP,TN,113.61
Intermountain,MAPR,MANHATTAN PROJECT NHP,WA,113.61
Pacific West,MANZ,MANZANAR NHS,CA,813.81
Northeast,MABI,MARSH-BILLINGS-ROCKEFELLER N,VT,643.07
National Capital,MLKM,"MARTIN L KING, JR, MEMORIAL",DC,2.74
Southeast,MALU,"MARTIN L KING, JR, NHS",GA,38.70
Northeast,MAVA,MARTIN VAN BUREN NHS,NY,284.93
Intermountain,MEVE,MESA VERDE NP,CO,"52,485.17"
Pacific West,MIIN,MINIDOKA NHS,ID,396.30
Northeast,MIMA,MINUTE MAN NHP,MA,"1,027.76"
Midwest,MIMI,MINUTEMAN MISSILE NHS,SD,43.80
Midwest,MISS,MISSISSIPPI N RA & RVR,MN,"53,775.00"
Midwest,MNRR,MISSOURI N REC RIVER,SD,"48,456.55"
Midwest,MNRR,MISSOURI N REC RIVER,NE,"48,456.55"
Pacific West,MOJA,MOJAVE NATIONAL PRESERVE,CA,"1,542,775.80"
National Capital,MONO,MONOCACY NB,MD,"1,647.01"
Intermountain,MOCA,MONTEZUMA CASTLE NM,AZ,"1,015.52"
Southeast,MOCR,MOORES CREEK NB,NC,87.75
Northeast,MORR,MORRISTOWN NHP,NJ,"1,710.72"
Pacific West,MORA,MT RAINIER NP,WA,"236,381.64"
Midwest,MORU,MT RUSHMORE NMEM,SD,"1,278.45"
Pacific West,MUWO,MUIR WOODS NM,CA,553.55
Southeast,NATC,NATCHEZ NHP,MS,108.30
Southeast,,NATCHEZ TRACE NS TRAIL,TN,"10,995.00"
Southeast,,NATCHEZ TRACE NS TRAIL,MS,"10,995.00"
Southeast,,NATCHEZ TRACE NS TRAIL,AL,"10,995.00"
Southeast,NATR,NATCHEZ TRACE PKWY,TN,"52,302.00"
Southeast,NATR,NATCHEZ TRACE PKWY,MS,"52,302.00"
Southeast,NATR,NATCHEZ TRACE PKWY,AL,"52,302.00"
National Capital,,NATIONAL CAPITAL PARKS,DC,"8,693.37"
National Capital,,NATIONAL CAPITAL PARKS,MD,"8,693.37"
National Capital,,NATIONAL MALL,DC,155.84
National Capital,,NATIONAL WWII MEMORIAL,DC,8.25
Intermountain,NABR,NATURAL BRIDGES NM,UT,"7,636.49"
Intermountain,NAVA,NAVAJO NM,AZ,360.00
Northeast,NEBE,NEW BEDFORD WHALING,MA,34.00
Southeast,JAZZ,NEW ORLEANS JAZZ NHP,LA,5.13
Northeast,NERI,NEW RIVER GORGE N RVR,WV,"72,185.76"
Pacific West,NEPE,NEZ PERCE NHP,MT,"4,564.93"
Pacific West,NEPE,NEZ PERCE NHP,ID,"4,564.93"
Pacific West,NEPE,NEZ PERCE NHP,OR,"4,564.93"
Pacific West,NEPE,NEZ PERCE NHP,WA,"4,564.93"
Midwest,NICO,NICODEMUS NHS,KS,17.52
Southeast,NISI,NINETY SIX NHS,SC,"1,021.94"
Midwest,NIOB,NIOBRARA N. SCENIC RIVER,NE,"29,101.02"
Alaska,NOAT,NOATAK N PRESERVE,AK,"6,587,071.39"
Pacific West,NOCA,NORTH CASCADES NP,WA,"504,780.94"
Pacific West,,NP OF AMERICAN SAMOA,SAMOA,"8,256.67"
Southeast,OBRI,OBED WILD & SCENIC RVR,TN,"5,432.69"
Southeast,OCMU,OCMULGEE NM,GA,703.70
Pacific West,OLYM,OLYMPIC NP,WA,"922,650.10"
Pacific West,ORCA,OREGON CAVES NM & PRES,OR,"4,554.03"
Intermountain,ORPI,ORGAN PIPE CACTUS NM,AZ,"330,688.86"
Midwest,OZAR,OZARK NS RIVERWAYS,MO,"80,785.04"
Intermountain,PAIS,PADRE ISLAND NS,TX,"130,434.27"
Intermountain,PAAL,PALO ALTO BTLFLD NHP,TX,"3,441.74"
Northeast,PAGR,PATERSON GREAT FALLS NHP,NJ,51.32
Midwest,PERI,PEA RIDGE NMP,AR,"4,300.35"
Intermountain,PECO,PECOS NHP,NM,"6,694.18"
National Capital,PAAV,PENNSYLVANIA AVE NHS,DC,17.61
Midwest,PEVI,PERRY'S VIC & INT PEACE M,OH,25.38
Northeast,PETE,PETERSBURG NB,VA,"2,739.72"
Intermountain,PEFO,PETRIFIED FOREST NP,AZ,"221,415.77"
Midwest,PETR,PETROGLYPH NM,NM,"7,209.30"
Pacific West,PIRO,PICTURED ROCKS NL,MI,"73,235.83"
Intermountain,PINN,PINNACLES NP,CA,"26,685.73"
Midwest,PISP,PIPE SPRING NM,AZ,40.00
National Capital,PIPE,PIPESTONE NM,MN,281.78
Pacific West,PISC,PISCATAWAY PARK,MD,"4,626.37"
Pacific West,PORE,POINT REYES NS,CA,"71,055.41"
Pacific West,POCH,PORT CHICAGO NAVAL MAG N MEM,CA,5.00
Southeast,,POVERTY POINT NM,LA,910.85
Midwest,WICL,PRESIDENT WJ CLINTON BP NHS,AR,0.68
National Capital,PRWI,PRINCE WM FOREST PARK,VA,"16,080.82"
Midwest,PULL,PULLMAN NM,IL,0.40
Pacific West,PUHO,PU'UHONUA O HONAUNAU,HI,419.80
Pacific West,PUHE,PUUKOHOLA HEIAU NHS,HI,86.24
Midwest,,R REAGAN BOYHOOD HOME NHS,IL,1.01
Intermountain,RABR,RAINBOW BRIDGE NM,UT,160.00
Pacific West,REDW,REDWOOD NP,CA,"138,999.97"
Northeast,RICH,RICHMOND NBP,VA,"8,169.69"
Intermountain,RIGR,RIO GRANDE WILD & SR,TX,"9,600.00"
Midwest,RIRA,RIVER RAISIN NBP,MI,42.18
National Capital,ROCR,ROCK CREEK PARK,DC,"1,755.21"
Intermountain,ROMO,ROCKY MT NP,CO,"265,795.20"
Northeast,ROWI,ROGER WILLIAMS NMEM,RI,4.56
Pacific West,RORI,ROSIE THE RIVETER  NHP,CA,145.19
Pacific West,ROLA,ROSS LAKE NRA,WA,"117,574.59"
Southeast,RUCA,RUSSELL CAVE NM,AL,310.45
Northeast,SAHI,SAGAMORE HILL NHS,NY,83.02
Intermountain,SAGU,SAGUARO NP,AZ,"91,715.72"
Midwest,SACN,SAINT CROIX NSR,MN,"67,466.63"
Midwest,SACN,SAINT CROIX NSR,WI,"67,466.63"
Northeast,SAGA,SAINT-GAUDENS NHS,NH,190.75
Northeast,SAMA,SALEM MARITIME NHS,MA,9.02
Intermountain,SAPU,SALINAS PUEBLO MSNS NM,NM,"1,071.42"
Southeast,SARI,SALT RVR BAY NHP,VI,989.42
Intermountain,SAAN,SAN ANTONIO MISSIONS NHP,TX,947.73
Pacific West,SAFR,SAN FRAN MARITIME NHP,CA,49.86
Pacific West,SAJH,SAN JUAN ISLAND NHP,WA,"2,145.56"
Southeast,SAJU,SAN JUAN NHS,PR,75.13
Intermountain,SAND,SAND CREEK MASSACRE NHS,CO,"12,583.34"
Pacific West,SAMO,SANTA MONICA MTS NRA,CA,"156,671.18"
Northeast,SARA,SARATOGA NHP,NY,"3,579.14"
Northeast,SAIR,SAUGUS IRON WORKS NHS,MA,8.51
Midwest,SCBL,SCOTTS BLUFF NM,NE,"3,004.73"
Pacific West,SEQU,SEQUOIA NP,CA,"404,062.63"
Northeast,SHEN,SHENANDOAH NP,VA,"199,195.27"
Southeast,SHIL,SHILOH NMP,TN,"7,921.52"
Southeast,SHIL,SHILOH NMP,MS,"7,921.52"
Alaska,SITK,SITKA NHP,AK,116.29
Midwest,SLBE,SLEEPING BEAR DUNES NL,MI,"71,205.06"
Northeast,SPAR,SPRINGFIELD ARMORY NHS,MA,54.93
Northeast,SACR,ST CROIX ISLAND IHS,ME,6.50
Northeast,SAPA,ST PAUL'S CHURCH NHS,NY,6.13
Northeast,STLI,STATUE OF LIBERTY NM,NY,58.38
Northeast,STLI,STATUE OF LIBERTY NM,NJ,58.38
Northeast,STEA,STEAMTOWN NHS,PA,62.48
Southeast,STRI,STONES RIVER NB,TN,709.46
Northeast,STON,STONEWALL NM,NY,7.70
Intermountain,SUCR,SUNSET CRATER VOLC NM,AZ,"3,040.00"
Northeast,THKO,T KOSCIUSZKO NMEM,PA,0.02
Northeast,THRB,T ROOSEVELT BIRTHPLACE NHS,NY,0.11
Northeast,THRI,T ROOSEVELT INAUG NHS,NY,1.18
Northeast,THIS,T ROOSEVELT ISLAND,DC,88.50
Midwest,THRO,T ROOSEVELT NP,ND,"70,446.89"
Midwest,TAPR,TALLGRASS PRAIRIE NPRE,KS,"10,882.67"
Northeast,EDIS,THOMAS EDISON NHP,NJ,21.25
National Capital,JEFM,THOMAS JEFFERSON MEM,DC,18.36
Northeast,THST,THOMAS STONE NHS,MD,328.25
Intermountain,TICA,TIMPANOGOS CAVE NM,UT,250.00
Southeast,TIMU,TIMUCUAN ECO & H PRES,FL,"46,262.67"
Intermountain,TONT,TONTO NM,AZ,"1,120.00"
Pacific West,,TULE SPRINGS FOSSIL BEDS NM,NV,"22,650.00"
Intermountain,,TUMACACORI NHP,AZ,360.32
Southeast,TUPE,TUPELO NB,MS,1.00
Southeast,TUAI,TUSKEGEE AIRMEN NHS,AL,89.68
Southeast,TUIN,TUSKEGEE INSTITUTE NHS,AL,57.92
Intermountain,TUZI,TUZIGOOT NM,AZ,811.89
Midwest,ULSG,ULYSSES S GRANT NHS,MO,9.60
Northeast,UPDE,UPPER DEL SCENIC & R RVR,NY,"74,999.56"
Northeast,UPDE,UPPER DEL SCENIC & R RVR,PA,"74,999.56"
Intermountain,VALL,VALLES CALDERA N PRES,NM,"89,766.09"
Northeast,VAFO,VALLEY FORGE NHP,PA,"3,467.70"
Northeast,VAMA,VANDERBILT MANSION NHS,NY,211.65
Southeast,VICK,VICKSBURG NMP,MS,"1,802.18"
Southeast,VICK,VICKSBURG NMP,LA,"1,802.18"
National Capital,VIVE,VIETNAM VETERANS MEM,DC,2.18
Southeast,,VIRGIN ISLANDS CORAL REEF,VI,"12,708.07"
Southeast,VIIS,VIRGIN ISLANDS NP,VI,"14,948.46"
Midwest,VOYA,VOYAGEURS NP,MN,"218,200.15"
Intermountain,WACO,WACO MAMMOTH NM,TX,107.23
Intermountain,WACA,WALNUT CANYON NM,AZ,"3,529.26"
Pacific West,WAPA,WAR IN THE PACIFIC NHP,GUAM,"2,030.65"
National Capital,WAMO,WASHINGTON MONUMENT,DC,106.01
Intermountain,WABA,WASHITA BATTLEFIELD NHS,OK,315.20
Northeast,WEFA,WEIR FARM NHS,CT,74.20
Pacific West,WHIS,WHISKEYTOWN-S-T NRA,CA,"42,503.25"
National Capital,WHHO,WHITE HOUSE,DC,18.07
Intermountain,WHSA,WHITE SANDS NM,NM,"143,733.25"
Pacific West,WHMI,WHITMAN MISSION NHS,WA,138.53
Midwest,WIHO,WILLIAM H TAFT NHS,OH,3.64
Midwest,WICR,WILSONS CREEK NB,MO,"2,368.10"
Midwest,WICA,WIND CAVE NP,SD,"33,970.84"
National Capital,WOTR,WOLF TRAP NP FOR PERF ARTS,VA,130.28
Northeast,WORI,WOMEN'S RIGHTS NHP,NY,7.44
National Capital,,WORLD WAR I NMEM,DC,1.39
Alaska,,WRANGELL-ST ELIAS N PRES,AK,"4,852,644.52"
Alaska,WRST,WRANGELL-ST ELIAS NP,AK,"8,323,146.48"
Southeast,WRBR,WRIGHT BROTHERS NMEM,NC,428.44
Intermountain,WUPA,WUPATKI NM,AZ,"35,422.13"
Pacific West,,WWII VALOR IN THE PACIFIC NM,HI,59.03
Pacific West,,WWII VALOR IN THE PACIFIC NM,CA,59.03
Intermountain,YELL,YELLOWSTONE NP,ID,"2,219,790.71"
Intermountain,YELL,YELLOWSTONE NP,MT,"2,219,790.71"
Intermountain,YELL,YELLOWSTONE NP,WY,"2,219,790.71"
Pacific West,YOSE,YOSEMITE NP,CA,"761,747.50"
Intermountain,,YUCCA HOUSE NM,CO,33.87
Alaska,YUCH,YUKON-CHARLEY RIVERS N PR,AK,"2,523,512.44"
Intermountain,ZION,ZION NP,UT,"147,237.02"
