ParkName,ParkType,Region,Location,Count
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT AT GATLINBURG SPUR (STATION 405 LANES 1 AND 2 SOUTHBOUND),"5,192,876"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT AT GREENBRIER,"115,968"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON HOLIDAYS AT GATLINBURG (STATION 401 LANE 2 SOUTHBOUND),"56,153"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON HOLIDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"5,653"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON HOLIDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"21,443"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON HOLIDAYS AT TOWNSEND (STATION 404 LANE 2 SOUTHBOUND),"23,208"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SATURDAYS AT GATLINBURG (STATION 401 LANE 2 SOUTHBOUND),"283,183"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SATURDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"42,437"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SATURDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"144,373"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SATURDAYS AT TOWNSEND (STATION 404 LANE 2 SOUTHBOUND),"135,234"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SUNDAYS AT GATLINBURG (STATION 401 LANE 2 SOUTHBOUND),"309,488"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SUNDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"112,691"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SUNDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"34,901"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON SUNDAYS AT TOWNSEND (STATION 404 LANE 2 SOUTHBOUND),"133,659"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON WEEKDAYS AT GATLINBURG (STATION 401 LANE 2 SOUTHBOUND),"1,039,016"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON WEEKDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"147,101"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON WEEKDAYS AT OCONALUFTEE (STATION 403 LANES 3 AND 4),"465,871"
Great Smoky Mountains NP,National Park,Southeast,TRAFFIC COUNT ON WEEKDAYS AT TOWNSEND (STATION 404 LANE 2 SOUTHBOUND),"387,300"
Guadalupe Mountains NP,National Park,Intermountain,TRAFFIC COUNT AT DOG CANYON,"1,171"
Guadalupe Mountains NP,National Park,Intermountain,TRAFFIC COUNT AT FRIJOLE,"9,013"
Guadalupe Mountains NP,National Park,Intermountain,TRAFFIC COUNT AT MCKITTRICK CANYON,"10,644"
Guadalupe Mountains NP,National Park,Intermountain,TRAFFIC COUNT AT PINE SPRINGS,"77,898"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT FORT PICKENS,"215,815"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT NAVAL LIVE OAKS (PICNIC AREA),"45,901"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT NAVAL LIVE OAKS (VISITOR CENTER),"69,959"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT OKALOOSA PICNIC AREA,"56,523"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT PARK ROAD,"305,096"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT PERDIDO KEY,"123,146"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT SANTA ROSA (HWY 399) (EASTBOUND),"321,037"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT SANTA ROSA (HWY 399) (WESTBOUND),"252,349"
Gulf Islands NS,National Seashore,Southeast,TRAFFIC COUNT AT YOUTH CAMPGROUND ROAD,0
Haleakala NP,National Park,Pacific West,TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) .pre 2010 was located on HWY 31,"113,249"
Haleakala NP,National Park,Pacific West,TRAFFIC COUNT AT SUMMIT ENTRANCE,"240,058"
Hawaii Volcanoes NP,National Park,Pacific West,TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),"161,986"
Hawaii Volcanoes NP,National Park,Pacific West,TRAFFIC COUNT AT ENTRANCE LANE 1,"447,942"
Hawaii Volcanoes NP,National Park,Pacific West,TRAFFIC COUNT AT ENTRANCE LANE 2,"360,493"
Homestead NM of America,National Monument,Midwest,TRAFFIC COUNT  at Heritage Center,"17,800"
Homestead NM of America,National Monument,Midwest,TRAFFIC COUNT AT Education Center,"24,719"
Homestead NM of America,National Monument,Midwest,TRAFFIC COUNT AT FREEMAN SCHOOL,"3,183"
Homestead NM of America,National Monument,Midwest,TRAFFIC COUNT AT HIGHWAY 4,"373,399"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,"128,062"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),"123,983"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (SOUTH),"144,429"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT AT WEST MOUNTAIN SUMMIT DRIVE (NORTH),"103,956"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT ON GULPHA GORGE HWY (NORTH),"1,214,781"
Hot Springs NP,National Park,Midwest,TRAFFIC COUNT ON GULPHA GORGE HWY (SOUTH),"1,229,533"
Jewel Cave NM,National Monument,Midwest,Traffic Count at Main Entrance,"57,768"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT 29 PALMS,"188,099"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT BLACK ROCK,"60,107"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT COTTONWOOD,"109,233"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT COVINGTON,"4,784"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT INDIAN COVE,"63,518"
Joshua Tree NP,National Park,Pacific West,TRAFFIC COUNT AT JOSHUA TREE,"356,426"
Katmai NP & PRES,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,0
Kenai Fjords NP,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,"57,794"
Kings Canyon NP,National Park,Pacific West,TRAFFIC COUNT AT BIG STUMP,"252,059"
Kings Canyon NP,National Park,Pacific West,TRAFFIC COUNT AT CEDAR GROVE,"2,384"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC AT CROSSROADS .,"12,819"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC COUNT AT BUTTE LAKE,"18,803"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC COUNT AT JUNIPER LAKE,"3,698"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC COUNT AT MANZANITA,"85,891"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC COUNT AT SOUTHWEST,"64,991"
Lassen Volcanic NP,National Park,Pacific West,TRAFFIC COUNT AT WARNER VALLEY,"14,456"
Lava Beds NM,National Monument,Pacific West,TRAFFIC COUNT AT HILL ROAD,"21,325"
Lava Beds NM,National Monument,Pacific West,TRAFFIC COUNT AT MEDICINE LAKE ROAD,"6,325"
Lava Beds NM,National Monument,Pacific West,TRAFFIC COUNT AT NORTHEAST ENTRANCE (CAPTAIN JACK'S),"6,975"
Lava Beds NM,National Monument,Pacific West,TRAFFIC COUNT AT PETROGLYPH POINT,"8,550"
Lava Beds NM,National Monument,Pacific West,TRAFFIC COUNT AT SAND BUTTE ROAD,"6,425"
Little Bighorn Battlefield NM,National Monument,Intermountain,TRAFFIC COUNT AT MAIN ENTRANCE,"99,151"
Little River Canyon NPRES,National Preserve,Southeast,TRAFFIC COUNT AT CANYON MOUTH PARK,"47,354"
Little River Canyon NPRES,National Preserve,Southeast,TRAFFIC COUNT AT FALLS PARKING LOT,"126,349"
Little River Canyon NPRES,National Preserve,Southeast,TRAFFIC COUNT AT HIGH ROCK,"4,994"
Little River Canyon NPRES,National Preserve,Southeast,TRAFFIC COUNT AT MARTHA'S FALLS,"30,434"
Mesa Verde NP,National Park,Intermountain,TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,"212,463"
Mesa Verde NP,National Park,Intermountain,TRAFFIC COUNT AT WETHERILL,0
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT CIMA ROAD (SOUTHBOUND),"23,337"
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT ESSEX ROAD (NORTHBOUND),"11,299"
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT IVANPAH ROAD (SOUTHBOUND),"97,827"
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT KELBAKER (NORTHBOUND),"138,612"
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT KELBAKER ROAD (SOUTHBOUND),"23,972"
Mojave NPRES,National Preserve,Pacific West,TRAFFIC COUNT AT LANFAIR ROAD (NORTHBOUND),"3,538"
Montezuma Castle NM,National Monument,Intermountain,TRAFFIC COUNT AT MONTEZUMA CASTLE,"124,657"
Montezuma Castle NM,National Monument,Intermountain,TRAFFIC COUNT AT MONTEZUMA WELL,"23,323"
Mount Rainier NP,National Park,Pacific West,TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,"157,499"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT CARBON RIVER ENTRANCE,"30,050"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT CAYUSE PASS (410 WEST),"121,600"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT MATHER WYE (410 EAST),"193,700"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT NISQUALLY ENTRANCE,"273,406"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT OHANAPECOSH (123 NORTH),"95,691"
Mount Rainier NP,National Park,Pacific West,TRAFFIC COUNT AT PAUL PEAK TRAILHEAD,"17,100"
Natural Bridges NM,National Monument,Intermountain,TRAFFIC COUNT AT ENTRANCE,"45,004"
Navajo NM,National Monument,Intermountain,TRAFFIC COUNT AT HORSE BARN,"14,450"
Navajo NM,National Monument,Intermountain,TRAFFIC COUNT AT VC,"37,421"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT CANYON RIM VC,"160,911"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT GLADE CREEK,"39,541"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT GRANDVIEW,"68,127"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT SANDSTONE AREA,"22,536"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT SANDSTONE VISITOR CENTER,"49,305"
New River Gorge NR,National River,Northeast,TRAFFIC COUNT AT SANDSTONE VISITOR CENTER,"24,653"
North Cascades NP,National Park,Pacific West,TRAFFIC COUNT AT CASCADES RIVER ROAD,"11,633"
Ocmulgee NM,National Monument,Southeast,TRAFFIC COUNT AT MAIN ENTRANCE,"50,884"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT DEER PARK (ENTRANCE LANE),"1,745"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT DOSEWALLIPS,0
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT EAST BEACH ROAD (NORTHBOUND LANE),"66,412"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT ENTRANCE LANE TO ELWHA,"16,015"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT ENTRANCE TO RUBY BEACH PARKING AREA,"103,346"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT EXIT LANE AT STAIRCASE RANGER STATION (HOODSPORT),"41,775"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT FEE COLLECTION STATION (HURRICANE),"148,470"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT HIGHWAY 101 (WESTBOUND LANE),"396,777"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT HOH ENTRANCE STATION (ENTRANCE LANE),"158,957"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT MORA ENTRANCE ROAD,"71,146"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT NORTH SHORE ROAD (EASTBOUND LANE),"36,620"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT NORTHSHORE ROAD (ENTRANCE LANE),"51,738"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT OZETTE RNGR STATION,"26,084"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT QUEETS,"4,989"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT SOLEDUCK ROAD (NORTHBOUND LANE),"62,074"
Olympic NP,National Park,Pacific West,TRAFFIC COUNT AT SOUTHSHORE ROAD (ENTRANCE LANE),"33,295"
Oregon Caves NM,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,"28,434"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT AJO MOUNTAIN ROAD,"9,868"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT ALAMO CANYON,"3,563"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT BATES WELL ROAD,"8,701"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT HIGHWAY 85,"418,615"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT PUERTO BLANCO NORTH,"10,590"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT PUERTO BLANCO SOUTH,0
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT QUITOBAQUITO,"2,065"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT SENITA BASIN,"3,047"
Organ Pipe Cactus NM,National Monument,Intermountain,TRAFFIC COUNT AT VISITOR CENTER,"52,087"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT  SINKING CREEK,"14,747"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT AKERS,"32,190"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT BACKCOUNTRY AREA (SOUTH UNIT),"17,054"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT BLUE SPRING,"9,022"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT CAMPGROUND AREA (SOUTH UNIT),"8,487"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT CEDARGROVE,"100,468"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT GOOSE NECK,"1,204"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT HICKORY,"1,530"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT HWY-103,"35,216"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT JERKTAIL,"17,594"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT LOG YARD,"12,832"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT M-HIGHWAY,"15,946"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT OWLS BEND,"10,256"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT PEA VINE,"16,315"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT PICNIC AREA (SOUTH UNIT),"11,661"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT PULLTITE,"16,125"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT ROCKY CREEK,"9,931"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT ROUND SPRING,"19,094"
Ozark NSR,National River,Midwest,TRAFFIC COUNT AT TWO RIVERS,"10,142"
Padre Island NS,National Seashore,Intermountain,ENTER THE VEHICLE COUNT AT SOUTH BEACH (administrative only),"58,974"
Padre Island NS,National Seashore,Intermountain,TRAFFIC COUNT AT BIRD ISLAND BASIN,"38,026"
Padre Island NS,National Seashore,Intermountain,TRAFFIC COUNT AT ENTRANCE STATION,"217,646"
Padre Island NS,National Seashore,Intermountain,TRAFFIC COUNT AT NORTH BEACH ROAD,"47,274"
Petrified Forest NP,National Park,Intermountain,TRAFFIC COUNT AT I-40 COUNTER,"155,721"
Petrified Forest NP,National Park,Intermountain,TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),"110,701"
Petrified Forest NP,National Park,Intermountain,TRAFFIC COUNT AT SOUTH ENTRANCE (NORTH LANE #1),"61,839"
Petroglyph NM,National Monument,Intermountain,TRAFFIC COUNT AT BOCA NEGRA CANYON,"27,558"
Petroglyph NM,National Monument,Intermountain,TRAFFIC COUNT AT RINCONADA CANYON,0
Petroglyph NM,National Monument,Intermountain,TRAFFIC COUNT AT VISITOR CENTER,0
Petroglyph NM,National Monument,Intermountain,TRAFFIC COUNT AT VOLCANOES,0
Pinnacles NP,National Park,Pacific West,TRAFFIC COUNT AT EAST ENTRANCE,"63,195"
Pinnacles NP,National Park,Pacific West,TRAFFIC COUNT AT WEST ENTRANCE,"14,920"
Pipe Spring NM,National Monument,Intermountain,TRAFFIC COUNT AT MAIN ENTRANCE,"18,692"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT BEAR  VALLEY VC,"169,420"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT BROOKS,"16,955"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT HEADLANDS,"102,800"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT LIMANTOUR,"104,132"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT PALOMARIN,"85,132"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT PIERCE POINT ROAD,"125,660"
Point Reyes NS,National Seashore,Pacific West,TRAFFIC COUNT AT SIR FRANCIS DRAKE BLVD,"209,165"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT COASTAL DRIVE,0
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,"84,149"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT FRESHWATER LAGOON,"15,688"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT KLAMATH RIVER OVERLOOK,"24,531"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT LAGOON CREEK PARKING AREA,"43,155"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT LOST MAN CREEK ROAD,"6,800"
Redwood NP,National Park,Pacific West,TRAFFIC COUNT AT REDWOOD CREEK TRAIL,"18,355"
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT BEAVER MEADOWS,"705,420"
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT FALL RIVER,"373,011"
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT GRAND LAKE,"229,077"
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT LONGS PEAK,"35,339"
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT SUN VALLEY ROAD,0
Rocky Mountain NP,National Park,Intermountain,TRAFFIC COUNT AT WILD BASIN,"98,444"
Russell Cave NM,National Monument,Southeast,TRAFFIC COUNT AT MAIN ENTRANCE,"8,315"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT CACTUS DRIVE,"16,293"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT GOLDEN GATE LANE 3,0
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT GOLDEN GATE LANE 4,"10,950"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT JAVELINA,"65,458"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT KINNEY ROAD AT RED HILLS VC,"256,236"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT PICTURED ROCKS LANE 2,"1,199,400"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT PICTURED ROCKS LANE 5,"1,162,422"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT SANDARIO ROAD LANE 1,"510,768"
Saguaro NP,National Park,Intermountain,TRAFFIC COUNT AT SANDARIO ROAD LANE 2,"95,832"
Scotts Bluff NM,National Monument,Midwest,TRAFFIC COUNT AT VC PARKING AREA,"49,444"
Sequoia NP,National Park,Pacific West,TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),"229,837"
Sequoia NP,National Park,Pacific West,TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 2),"106,335"
Sequoia NP,National Park,Pacific West,TRAFFIC COUNT AT LOOKOUT POINT,"15,500"
Sequoia NP,National Park,Pacific West,TRAFFIC COUNT AT LOST GROVE,"96,303"
Sequoia NP,National Park,Pacific West,TRAFFIC COUNT AT SOUTH FORK,"6,854"
Shenandoah NP,National Park,Northeast,TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,"178,004"
Shenandoah NP,National Park,Northeast,TRAFFIC COUNT AT ROCKFISH ENTRANCE,"82,951"
Shenandoah NP,National Park,Northeast,TRAFFIC COUNT AT SWIFT RUN ENTRANCE,"156,303"
Shenandoah NP,National Park,Northeast,TRAFFIC COUNT AT THORNTON GAP ENTRANCE,"193,510"
Sunset Crater Volcano NM,National Monument,Intermountain,TRAFFIC COUNT AT EAST ENTRANCE,"42,953"
Sunset Crater Volcano NM,National Monument,Intermountain,TRAFFIC COUNT AT WEST ENTRANCE,"89,575"
Tallgrass Prairie NPRES,National Preserve,Midwest,TRAFFIC COUNT AT LOWER FOX CREEK SCHOOLHOUSE,"1,839"
Theodore Roosevelt NP,National Park,Midwest,TRAFFIC COUNT AT PAINTED CANYON REST AREA,"121,436"
Theodore Roosevelt NP,National Park,Midwest,TRAFFIC COUNT AT SCENIC DRIVE (VISITOR CENTER AREA,"34,631"
Theodore Roosevelt NP,National Park,Midwest,TRAFFIC COUNT AT SCENIC LOOP DRIVE (MEDORA),"111,289"
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT BIG TALBOT ISLAND BOAT RAMP,0
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT CEDAR POINT,"48,406"
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT CLAP BOARD CREEK BOAT RAMP,"8,233"
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT SISTER'S CREEK NORTH,"99,944"
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT SISTER'S CREEK SOUTH,"110,953"
Timucuan EHP,National Preserve,Southeast,TRAFFIC COUNT AT THEODORE ROOSEVELT,"26,312"
Tonto NM,National Monument,Intermountain,TRAFFIC COUNT AT MAIN ENTRANCE,0
Tuzigoot NM,National Monument,Intermountain,TRAFFIC COUNT ENTERING THE PARK,"42,309"
Walnut Canyon NM,National Monument,Intermountain,TRAFFIC COUNT AT MAIN ENTRANCE,"65,897"
Wind Cave NP,National Park,Midwest,TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),"213,631"
Wind Cave NP,National Park,Midwest,TRAFFIC COUNT AT HIGHWAY 385 WEST (COUNTER #4),"210,489"
Wind Cave NP,National Park,Midwest,TRAFFIC COUNT AT HIGHWAY 87 NORTH (COUNTER #2),"45,839"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT AT EAST GATE,"185,707"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT AT NORTH GATE,"360,631"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT AT NORTHEAST GATE,"101,522"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT AT SOUTH GATE,"310,368"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT AT WEST GATE,"609,897"
Yellowstone NP,National Park,Intermountain,TRAFFIC COUNT ON HIGHWAY 191,"1,088,312"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT ARCH ROCK,"562,150"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT BADGER PASS,"220,357"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT BIG OAK FLAT,"412,740"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT BIG TREE,0
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT HETCH HETCHY,"23,974"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT SOUTH ENTRANCE,"488,373"
Yosemite NP,National Park,Pacific West,TRAFFIC COUNT AT TIOGA PASS,"181,377"
Zion NP,National Park,Intermountain,TRAFFIC COUNT AT CANYON DRIVE,"69,173"
Zion NP,National Park,Intermountain,TRAFFIC COUNT AT EAST ENTRANCE,"416,596"
Zion NP,National Park,Intermountain,TRAFFIC COUNT AT KOLOB CANYON,"102,130"
Zion NP,National Park,Intermountain,TRAFFIC COUNT AT KOLOB TERRACE,0
Zion NP,National Park,Intermountain,TRAFFIC COUNT AT SOUTH ENTRANCE,"947,033"
